2022-01-27 20:45:48,197 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:45:48,205 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 20:52:00,411 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:52:00,411 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 20:52:00,426 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:52:00,426 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 20:52:51,617 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2022-01-27 20:52:52,749 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: libjpa:libjpa:0.0.1-SNAPSHOT @ C:\libreria\libjpa\pom.xml.
2022-01-27 20:52:53,685 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /libjpa/src
2022-01-27 20:52:53,685 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /libjpa/src overlaps with sources folder /libjpa/src
2022-01-27 20:52:53,685 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /libjpa/src/test/java because it overlaps with /libjpa/src
2022-01-27 20:52:53,977 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2022-01-27 20:52:54,982 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:52:54,992 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 20:52:55,003 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:52:55,011 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 20:54:37,774 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:54:37,774 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 20:54:37,784 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:54:37,784 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 20:55:07,721 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:55:07,721 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 20:55:07,721 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:55:07,721 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 20:57:08,353 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:57:08,365 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 20:57:08,365 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 20:57:08,365 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 21:02:10,828 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 21:02:10,828 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 21:02:10,828 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 21:02:10,828 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
2022-01-27 21:02:39,425 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 21:02:39,425 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2022-01-27 21:02:39,441 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-27 21:02:39,441 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\libreria\libjpa\src\test\resources
